Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
01-Jan-09,450,466.95,450,464.15,5096416,2352034470
02-Jan-09,465,479.8,462.25,471.25,6463217,3053219552
05-Jan-09,475.5,504,474.15,499.9,8585791,4236493792
06-Jan-09,480,530.7,480,523.45,14115209,7266483004
07-Jan-09,528,538.6,454.05,467.85,19189173,9421280980
09-Jan-09,458.7,483,441,456.6,12660721,5841637163
12-Jan-09,440,463.3,428.2,438,8168155,3627032474
13-Jan-09,435,448.4,418.05,425.45,9939485,4282053194
14-Jan-09,428.65,451,428.65,441.1,6292884,2780013839
15-Jan-09,429,429,398.3,408.65,9696693,3941728332
16-Jan-09,415,427.7,408.65,423.75,5004035,2098438277
19-Jan-09,425,444.4,408.5,412.6,6020627,2493781859
20-Jan-09,403,407.8,390.25,396.3,6954114,2756993727
21-Jan-09,389.7,389.7,360,369.35,11918570,4484131069
22-Jan-09,381.95,385.9,358.75,378.05,9534927,3568956480
23-Jan-09,331.55,391,331.55,363.85,10743196,4009852883
27-Jan-09,372.95,389,359.1,381.1,9849131,3670494849
28-Jan-09,386.95,412.5,382.45,408.05,11795297,4670812495
29-Jan-09,430,433.7,402.6,410.1,9100850,3795501155
30-Jan-09,402,418.9,395,416.25,9010507,3666179886
02-Feb-09,402.55,412.1,383,385.1,6766101,2678719306
03-Feb-09,390,404.7,383.1,392,7152145,2809554740
04-Feb-09,395,405.25,386.3,389.7,6257756,2475839831
05-Feb-09,390.1,396.55,385.05,390.55,5065666,1973706999
06-Feb-09,399,408.85,396,407.1,5741796,2318666206
09-Feb-09,406.35,429.8,406.35,428.35,6792015,2853425865
10-Feb-09,428,442,420.2,428.7,7735275,3344504058
11-Feb-09,420.1,437.9,400.6,435.2,7677090,3273550194
12-Feb-09,433.7,434.4,416.7,421.4,6836380,2911193561
13-Feb-09,423.05,438.4,423.05,434.4,6447178,2795192049
16-Feb-09,433.5,439.9,405.95,409,6908268,2879977245
17-Feb-09,438.8,438.8,380.2,385.7,11229079,4364175249
18-Feb-09,383,384.8,365,369.5,13254008,4949682310
19-Feb-09,367,379.7,359.25,361.5,11655190,4269978601
20-Feb-09,356,358.65,331,335.85,12628960,4320407335
24-Feb-09,325,341.9,318.4,335.95,15551602,5136293877
25-Feb-09,341,349.9,338.4,340.6,10843876,3735689201
26-Feb-09,332.3,343.4,318.6,324.85,17237136,5598275507
27-Feb-09,324,334,311.05,327.55,17868678,5728065947
02-Mar-09,324.7,324.7,300,304.4,12044522,3750113231
03-Mar-09,295,313.2,293.3,295.6,24423234,7408543962
04-Mar-09,298,302.8,280.1,284.9,25291532,7341299036
05-Mar-09,287,294.75,266.1,270.05,26122290,7262914097
06-Mar-09,263.7,284.9,252.3,269.15,50409495,13591504084
09-Mar-09,268.85,272.4,258,262.95,19459652,5135412490
12-Mar-09,274.4,288.4,270.25,284.15,27371681,7691359994
13-Mar-09,296,312.75,292,308.65,26088959,7990467924
16-Mar-09,311.45,325,307.05,322.8,22200212,7012040017
17-Mar-09,324.5,337.3,314.05,323.4,31841759,10375312543
