Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
01-Jan-09,247.45,265.9,247.45,261.25,109104,28080651.45
02-Jan-09,269,279,264.05,273.9,139279,37926948.1
05-Jan-09,277.9,289,277.9,283.9,189621,54125379
06-Jan-09,280,340,280,294.3,1171513,356191783.8
07-Jan-09,300,301.15,246,252,425970,118125573.6
09-Jan-09,250,263.8,235,249.85,169670,42207392.55
12-Jan-09,252,258.95,244,246.05,85398,21327143.6
13-Jan-09,248.9,248.9,230.1,233.4,153831,36695007.25
14-Jan-09,237.5,247,233,235.8,116473,27976486.5
15-Jan-09,228,250,211.05,241.65,163922,38883089.1
16-Jan-09,242.5,248.95,238.2,240.35,58424,14129279.95
19-Jan-09,247.9,247.9,236,239.8,31644,7639507.8
20-Jan-09,235,243,230.55,236.7,55519,13273980.65
21-Jan-09,231.5,240.9,224.1,226.7,52481,12244102.85
22-Jan-09,231,238.35,217.65,229.4,235834,52474704.35
23-Jan-09,226.2,229,205,209.3,116017,25062689.65
27-Jan-09,229.9,229.9,208,215.75,103323,22521287.35
28-Jan-09,218,225.05,218,224.15,111791,24889764.15
29-Jan-09,227,235,223.1,230.35,166349,37917401.85
30-Jan-09,228.8,240,225,237.9,131764,30998430.6
02-Feb-09,240,244,232.7,235.45,65023,15509403.25
03-Feb-09,244,244,230.1,232.4,82571,19561060.4
04-Feb-09,233,241.8,230,231.25,60403,14223164.6
05-Feb-09,233,234.15,222.1,225.25,41477,9385099.25
06-Feb-09,225.5,233.6,225.5,232,119932,27669444.6
09-Feb-09,233,239.95,231.95,234.7,45748,10799465.8
10-Feb-09,235.1,239.45,235,236.8,32226,7654912.05
11-Feb-09,233,237,231.55,233.45,17311,4047838.25
12-Feb-09,231.9,250,230,244.6,236101,57355320.45
13-Feb-09,247.4,254,245.1,249.55,173582,43521772.35
16-Feb-09,250,251,240,245.4,115123,28290591.65
17-Feb-09,238.5,243,235.05,237.45,80199,19206856.4
18-Feb-09,232.9,244,232,238.8,68576,16405657.8
19-Feb-09,236,273.8,234,266.65,513939,134956471.4
20-Feb-09,215.25,274.7,215.25,269.85,1081811,286781961.1
24-Feb-09,265,275.8,258,271.45,339967,90682201.1
25-Feb-09,278.75,285,271.15,275.8,398203,111545922.9
26-Feb-09,273.8,288,255.6,257.95,302429,80847834.15
27-Feb-09,254,259,245.45,248.65,142923,35876693.1
02-Mar-09,244,256.9,240.4,245.65,112013,27950288.25
03-Mar-09,246.1,248.3,240.6,244.85,107658,26453150.85
04-Mar-09,244.9,253.2,244.9,250.75,74691,18619339.05
05-Mar-09,252,257.85,243.15,247.55,84719,21288485.2
06-Mar-09,244,257,244,254.25,73525,18479270.45
09-Mar-09,252.9,265.95,248.3,262.95,96319,24937434.6
12-Mar-09,268,286.4,258,263.9,245002,65897395.2
13-Mar-09,268,270.95,254.05,255.75,182484,47548620.15
16-Mar-09,258,258.8,252.1,255.25,100147,25553129.85
17-Mar-09,257,271,256.1,264.95,197319,52354943.35
18-Mar-09,270,277.9,264.1,266.1,183194,49720129.25
19-Mar-09,269.5,292.3,268.2,273.35,511236,141975194.1
20-Mar-09,271.95,285.4,271.95,275.85,332145,93151654.55
23-Mar-09,280,284.4,275.1,277.45,137162,38255185.85
24-Mar-09,280,294.6,269,274.2,725957,207530949.9
25-Mar-09,270,282,267,271.4,199145,54610965.6
26-Mar-09,270.05,277.85,266.15,268.5,183467,49782147.75
27-Mar-09,272.95,279,268.65,275.5,199237,54487516.5
30-Mar-09,250,276.1,250,261.5,139493,37212999.2
31-Mar-09,263.4,269.95,257.05,265.1,96422,25623359.15
01-Apr-09,266,280.3,266,272.4,214378,58920594.75
